City,State_Province,Country,Player_Count,Latitude,Longitude
Abbotsford,British Columbia,Canada,5,49.0504377,-122.3044697
Aberdeen,Saskatchewan,Canada,1,52.3261036,-106.2914913
Aberdeen,Scotland,Scotland,1,57.1498891,-2.0937528
Abington,Massachusetts,USA,1,42.1048228,-70.9453218
Airdrie,Alberta,Canada,2,51.29269679999999,-114.0134113
Airmont,New York,USA,1,41.1009293,-74.1162544
Ajax,Ontario,Canada,2,43.8611288,-79.0259267
Albert Lea,Minnesota,USA,1,43.6478006,-93.3686555
Alexandria,Minnesota,USA,1,45.8848164,-95.3776663
Alexandria,Virginia,USA,1,38.804693,-77.0435257
Algonquin,Illinois,USA,1,42.1655801,-88.29424929999999
Aliso Viejo,California,USA,1,33.5684605,-117.7262981
Allen,Texas,USA,1,33.1031744,-96.67055030000002
Allendale,Michigan,USA,1,42.97219339999999,-85.9540407
Almonte,Ontario,Canada,1,45.22556549999999,-76.19405979999999
Alpharetta,Georgia,USA,2,34.0746204,-84.29228619999999
Anaheim,California,USA,1,33.8365932,-117.9143012
Ancaster,Ontario,Canada,2,43.2177791,-79.98728349999999
Anchorage,Alaska,USA,9,61.2175758,-149.8996785
Andover,Massachusetts,USA,1,42.6627301,-71.1446897
Andover,Minnesota,USA,7,45.2332984,-93.29134049999999
Andover,New Hampshire,USA,1,43.43701979999999,-71.8234138
Angelholm,Sweden,Sweden,1,56.245748,12.863881
Annapolis,Maryland,USA,2,38.9764364,-76.489642
Apple Valley,Minnesota,USA,5,44.7319094,-93.21772000000001
Appleton,Wisconsin,USA,1,44.2622712,-88.40710469999999
Arcola,Saskatchewan,Canada,1,49.6390657,-102.4925359
Arlington,Massachusetts,USA,4,42.4153925,-71.1564729
Arlington Heights,Illinois,USA,1,42.0883603,-87.98062650000001
Armonk,New York,USA,1,41.1264849,-73.71401949999999
Arnprior,Ontario,Canada,1,45.4347445,-76.3518469
Ashburn,Virginia,USA,1,39.0437567,-77.4874416
Ashburnham,Massachusetts,USA,1,42.635545,-71.90973939999999
Auburn,New Hampshire,USA,1,43.0045288,-71.348398
Aurora,Illinois,USA,1,41.7605849,-88.32007150000001
Aurora,Ontario,Canada,2,44.00648,-79.450396
Avon,Connecticut,USA,1,41.8096201,-72.8305154
Avon,New Jersey,USA,1,40.1926842,-74.0215746
Baie d'Urfée,Quebec,Canada,1,45.4147368,-73.91630339999999
Baldwin Park,California,USA,1,34.0852868,-117.9608978
Balgonie,Saskatchewan,Canada,2,50.4921223,-104.2687767
Banska Stiavnica,Slovakia,Slovakia,1,48.44920159999999,18.9070093
Bardejov,Slovakia,Slovakia,1,49.2945857,21.2754012
Barrhead,Alberta,Canada,1,54.1229824,-114.4017497
Barrie,Ontario,Canada,1,44.38935559999999,-79.6903316
Basking Ridge,New Jersey,USA,1,40.7066174,-74.5493284
Batavia,Illinois,USA,1,41.8500284,-88.3125738
Bath,Ontario,Canada,1,44.1840483,-76.771219
Battle Creek,Michigan,USA,2,42.3211522,-85.17971419999999
Bayville,New York,USA,1,40.9106541,-73.56206890000001
Beach Park,Illinois,USA,1,42.4222435,-87.85729549999999
Beaconsfield,Quebec,Canada,2,45.4309308,-73.86828349999999
Beaumont,Alberta,Canada,2,53.3521108,-113.415127
Bedford,Nova Scotia,Canada,1,44.7233504,-63.6899963
Belleville,Ontario,Canada,3,44.1627589,-77.3832315
Bellinzona,Switzerland,Switzerland,1,46.1946216,9.0244124
Bellows Falls,Vermont,USA,1,43.133411,-72.44397719999999
Belmont,Massachusetts,USA,1,42.3956405,-71.1776114
Bethesda,Maryland,USA,3,38.9848328,-77.09431719999999
Bethune,Saskatchewan,Canada,1,50.7101179,-105.2054492
Beverly,Massachusetts,USA,1,42.5584283,-70.880049
Birmingham,Michigan,USA,2,42.5467012,-83.21131919999999
Bismarck,North Dakota,USA,2,46.8041643,-100.7877616
Blackfalds,Alberta,Canada,2,52.381198,-113.7953731
Blackwood,New Jersey,USA,1,39.8023363,-75.0640602
Blaine,Minnesota,USA,4,45.1607987,-93.23494889999999
Blainville,Quebec,Canada,2,45.6688961,-73.8728751
Blauvelt,New York,USA,1,41.0634299,-73.95763780000001
Bloomfield,Michigan,USA,1,42.5813327,-83.28117689999999
Bloomfield Hills,Michigan,USA,2,42.583645,-83.24548829999999
Bloomington,Indiana,USA,1,39.169574,-86.5385549
Bloomington,Minnesota,USA,3,44.840798,-93.2982799
Bobcaygeon,Ontario,Canada,1,44.5404573,-78.5463692
Boischâtel,Quebec,Canada,1,46.896612,-71.13541300000001
Bonnyville,Alberta,Canada,2,54.2679661,-110.7397826
Boston,Massachusetts,USA,5,42.3555076,-71.0565364
Boulder,Colorado,USA,2,40.0189728,-105.2747406
Bourget,Ontario,Canada,1,45.4349399,-75.1580312
Bovey,Minnesota,USA,1,47.2955444,-93.4159162
Bow,New Hampshire,USA,1,43.1320263,-71.54923769999999
Bowie,Maryland,USA,1,39.0067768,-76.77913649999999
Bowling Green,Ohio,USA,1,41.3747744,-83.6513229
Bozeman,Montana,USA,1,45.67931189999999,-111.037259
Braeside,Ontario,Canada,1,45.4658182,-76.4069648
Brainerd,Minnesota,USA,2,46.3526733,-94.2020084
Brampton,Ontario,Canada,1,43.7315479,-79.7624177
Brandon,Florida,USA,1,27.9378178,-82.2611045
Brandon,Manitoba,Canada,3,49.8437486,-99.95148069999999
Brantford,Ontario,Canada,2,43.1394191,-80.263623
Brasher Falls,New York,USA,1,44.807648,-74.7743057
Bratislava,Slovakia,Slovakia,5,48.1477745,17.1071553
Brentwood,New Hampshire,USA,1,42.9780248,-71.0735503
Brentwood,Tennessee,USA,1,36.0331164,-86.78277720000001
Bridgewater,Massachusetts,USA,1,41.99024199999999,-70.9754708
Bridgewater,New Jersey,USA,1,40.5929855,-74.6263783
Bridgewater,Nova Scotia,Canada,1,44.3795966,-64.5213299
Brighton,Michigan,USA,1,42.5294773,-83.7802214
Brno,Czech Republic,Czech Republic,1,49.1950602,16.6068371
Brookfield,Connecticut,USA,1,41.4660052,-73.3877826
Brooklin,Ontario,Canada,1,43.9631607,-78.9571069
Brookline,Massachusetts,USA,1,42.33176419999999,-71.1211635
Brooklyn,New York,USA,2,40.6781784,-73.9441579
Brunico,Italy,Italy,1,46.7965374,11.9381326
Buffalo,New York,USA,7,42.88690039999999,-78.8788896
Burlington,Massachusetts,USA,1,42.5047161,-71.1956205
Burlington,Ontario,Canada,5,43.3255196,-79.7990319
Burlington,Vermont,USA,3,44.4758825,-73.21207199999999
Burnaby,British Columbia,Canada,3,49.2488091,-122.9805104
Burnsville,Minnesota,USA,1,44.7677424,-93.27772259999999
Byron,Minnesota,USA,1,44.0327417,-92.6454624
