Clean_Player,Team,G,A,Pts,plus_minus,Sh,TOI_sec,PIM,FOW,FOL,Games_Played,FO%,TOI
A.J. Hodges,Bentley,9,9,18,7,78,28504.0,8,19.0,22.0,30,46.34146341463415,07:55:04
A.J. Macaulay,Bemidji State,0,2,2,-5,17,22475.0,4,0.0,0.0,28,,06:14:35
AJ Casperson,Long Island,0,0,0,0,1,249.0,0,0.0,0.0,1,,00:04:09
Aaron Bohlinger,Quinnipiac,3,11,14,11,34,40704.0,4,0.0,0.0,32,,11:18:24
Aaron Grounds,Long Island,0,0,0,0,0,544.0,0,0.0,0.0,1,,00:09:04
Aaron Huglen,Minnesota,5,14,19,4,48,35903.0,10,274.0,244.0,38,52.8957528957529,09:58:23
Aaron Pionk,Minnesota-Duluth,3,23,26,1,75,40395.0,12,0.0,0.0,36,,11:13:15
Aaron Schwartz,Quinnipiac,12,18,30,-1,89,39072.0,2,1.0,5.0,38,16.666666666666664,10:51:12
Aaron Trotter,St. Thomas,0,1,1,0,0,0.0,0,0.0,0.0,20,,00:00:00
Abram Wiebe,North Dakota,4,20,24,-2,74,52232.0,24,0.0,0.0,38,,14:30:32
Adam Barone,Lake Superior,0,1,1,-6,19,13042.0,4,0.0,0.0,17,,03:37:22
Adam Cardona,Alaska,0,5,5,-3,40,34936.0,32,0.0,0.0,31,,09:42:16
Adam Eisele,Minnesota State,13,13,26,23,87,37573.0,49,337.0,278.0,37,54.796747967479675,10:26:13
Adam Flammang,Bemidji State,5,13,18,-7,87,34858.0,27,3.0,6.0,38,33.33333333333333,09:40:58
Adam Gajan,Minnesota-Duluth,0,0,0,0,0,0.0,0,0.0,0.0,21,,00:00:00
Adam Ingram,St. Cloud State,2,6,8,-4,45,23870.0,12,0.0,0.0,29,,06:37:50
Adam Jeffery,RIT,1,2,3,-11,22,14616.0,6,0.0,0.0,26,,04:03:36
Adam Kleber,Minnesota-Duluth,2,3,5,-9,60,37123.0,13,0.0,0.0,33,,10:18:43
Adam Manji,American Int'l,0,1,1,0,1,0.0,0,0.0,0.0,7,,00:00:00
Adam Marshall,Army,7,5,12,-3,93,34330.0,33,1.0,5.0,38,16.666666666666664,09:32:10
Adam O'Marra,Robert Morris,0,1,1,-3,20,8013.0,0,54.0,59.0,13,47.78761061946903,02:13:33
Adam Parsons,Alaska-Anchorage,1,2,3,-5,30,15594.0,2,35.0,43.0,21,44.871794871794876,04:19:54
Adam Pietila,Wisconsin,1,2,3,0,28,14413.0,57,2.0,1.0,31,66.66666666666666,04:00:13
Adam Raesler,Lindenwood,0,0,0,-2,4,3837.0,4,2.0,1.0,7,66.66666666666666,01:03:57
Adam Schankula,Bowling Green,0,0,0,0,1,299.0,0,0.0,0.0,1,,00:04:59
Adam Zlnka,Bowling Green,1,3,4,6,30,13580.0,12,4.0,2.0,21,66.66666666666666,03:46:20
Aidan Carney,Maine,0,0,0,0,0,1285.0,2,0.0,0.0,5,,00:21:25
Aidan Hreschuk,Boston College,2,7,9,9,36,39141.0,21,1.0,2.0,33,33.33333333333333,10:52:21
Aidan Thompson,Denver,21,34,55,16,164,52067.0,26,37.0,17.0,44,68.51851851851852,14:27:47
Aiden Celebrini,Boston University,2,6,8,8,23,19768.0,14,0.0,1.0,31,0.0,05:29:28
Aiden Dubinsky,Minnesota-Duluth,4,10,14,-2,46,46129.0,20,0.0,0.0,36,,12:48:49
Aiden Fink,Penn State,23,30,53,15,144,47338.0,12,1.0,2.0,40,33.33333333333333,13:08:58
Aiden Gallacher,Omaha,0,1,1,0,4,4269.0,2,0.0,0.0,6,,01:11:09
Aiden Hansen-Bukata,Ohio State,2,29,31,11,55,46646.0,20,0.0,0.0,38,,12:57:26
Aiden VanRooyan,Sacred Heart,1,6,7,8,39,34260.0,10,0.0,1.0,32,0.0,09:31:00
Aiden Westin,Alaska-Anchorage,2,3,5,-7,26,23992.0,6,114.0,105.0,27,52.054794520547944,06:39:52
Aiden Yakimchuk,Lindenwood,0,1,1,-5,28,33649.0,4,0.0,0.0,32,,09:20:49
Aidyn Hutchinson,Northern Michigan,4,6,10,-6,43,27266.0,16,2.0,2.0,30,50.0,07:34:26
Ajeet Gundarah,Sacred Heart,0,1,1,0,0,0.0,0,0.0,0.0,26,,00:00:00
Aku Koskenvuo,Harvard,0,0,0,0,1,0.0,0,0.0,0.0,21,,00:00:00
Albin Boija,Maine,0,1,1,0,1,0.0,0,0.0,0.0,37,,00:00:00
Alec Cicero,Canisius,8,9,17,-7,41,26992.0,33,13.0,27.0,34,32.5,07:29:52
Alec Whipple,Denver,0,0,0,0,0,405.0,0,0.0,0.0,7,,00:06:45
Aleksi Kivioja,Providence,3,5,8,8,31,21366.0,10,76.0,64.0,28,54.285714285714285,05:56:06
Alex Bump,Western Michigan,23,24,47,11,248,48613.0,14,1.0,3.0,42,25.0,13:30:13
Alex DiPaolo,Colgate,11,15,26,-9,73,33476.0,12,123.0,92.0,32,57.20930232558139,09:17:56
Alex Gaffney,Harvard,0,0,0,0,3,2806.0,0,0.0,1.0,4,0.0,00:46:46
Alex Gagne,New Hampshire,4,13,17,0,83,53236.0,46,0.0,1.0,35,0.0,14:47:16
Alex Gomez,Alaska-Anchorage,0,5,5,5,11,12145.0,2,44.0,78.0,16,36.0655737704918,03:22:25
Alex Konovalov,Princeton,3,8,11,2,27,20149.0,6,5.0,9.0,27,35.714285714285715,05:35:49
Alex Krause,Dartmouth,4,8,12,13,37,19380.0,0,3.0,2.0,31,60.0,05:23:00
Alex Murray,Niagara,3,14,17,-2,68,42613.0,28,0.0,0.0,37,,11:50:13
Alex Nordstrom,Michigan Tech,7,2,9,1,53,22553.0,16,4.0,2.0,31,66.66666666666666,06:15:53
Alex Pineau,Brown,7,9,16,-3,54,52898.0,14,0.0,0.0,32,,14:41:38
Alex Power,Quinnipiac,1,3,4,0,15,12295.0,0,0.0,1.0,23,0.0,03:24:55
Alex Servagno,Penn State,0,1,1,0,14,7700.0,4,1.0,0.0,17,100.0,02:08:20
Alex Tracy,Minnesota State,0,0,0,0,0,0.0,0,0.0,0.0,38,,00:00:00
Alex Weiermair,Denver,0,2,2,3,5,4111.0,0,2.0,2.0,9,50.0,01:08:31
Alex Zetterberg,Boston University,5,3,8,0,16,13187.0,2,0.0,1.0,26,0.0,03:39:47
Alexander Bales,Providence,2,3,5,2,34,23980.0,10,0.0,0.0,32,,06:39:40
Alexander Lundman,Lindenwood,2,1,3,-6,19,15046.0,6,0.0,3.0,17,0.0,04:10:46
Alexander Malinowski,American Int'l,0,8,8,-8,45,21362.0,6,1.0,1.0,25,50.0,05:56:02
Alexander Tell,St. Thomas,1,2,3,-3,7,6603.0,4,28.0,49.0,10,36.36363636363637,01:50:03
Alexander Tertyshny,Stonehill,0,1,1,-5,7,8186.0,7,0.0,0.0,9,,02:16:26
Alexandros Aslanidis,Lindenwood,0,0,0,0,0,0.0,0,0.0,0.0,1,,00:00:00
Alexi Sylvestre,Bemidji State,1,0,1,-3,15,4461.0,0,1.0,3.0,9,25.0,01:14:21
Alexi Van Houtte-Cachero,Omaha,0,0,0,-2,3,2525.0,4,2.0,2.0,6,50.0,00:42:05
Alfred Lindberg,American Int'l,7,4,11,-17,77,31122.0,4,232.0,214.0,33,52.01793721973094,08:38:42
Alton McDermott,Canisius,7,8,15,5,43,25547.0,6,2.0,2.0,33,50.0,07:05:47
Andon Cerbone,Quinnipiac,15,20,35,4,92,40983.0,16,114.0,74.0,38,60.63829787234043,11:23:03
Andre Gasseau,Boston College,15,15,30,23,87,38601.0,49,206.0,203.0,36,50.36674816625917,10:43:21
Andrew Centrella,Providence,2,12,14,-6,27,31580.0,8,0.0,0.0,34,,08:46:20
Andrew DeCarlo,Air Force,5,2,7,-5,46,26586.0,31,154.0,145.0,35,51.50501672240802,07:23:06
Andrew Garby,Army,0,0,0,0,0,1451.0,12,0.0,0.0,2,,00:24:11
Andrew Gilbert,Army,0,3,3,-8,26,40653.0,8,0.0,0.0,38,,11:17:33
Andrew King,Brown,0,1,1,1,8,7092.0,0,0.0,0.0,14,,01:58:12
Andrew Noel,Ferris State,1,2,3,-13,26,28284.0,22,0.0,12.0,30,0.0,07:51:24
Andrew Strathmann,North Dakota,2,2,4,0,30,23743.0,24,0.0,0.0,30,,06:35:43
Andrew Takacs,Colgate,0,1,1,0,1,0.0,6,0.0,0.0,32,,00:00:00
Andrius Kulbis-Marino,Long Island,3,6,9,2,34,32506.0,9,0.0,2.0,32,0.0,09:01:46
Andy Moore,Northeastern,1,3,4,-1,27,19493.0,10,114.0,89.0,36,56.15763546798029,05:24:53
Andy Reist,Niagara,1,7,8,-12,72,25352.0,16,209.0,142.0,32,59.54415954415955,07:02:32
Anthony Calafiore,Maine,1,0,1,1,20,12794.0,4,4.0,9.0,21,30.76923076923077,03:33:14
Anthony Cipollone,Quinnipiac,0,3,3,-1,28,21861.0,9,3.0,6.0,38,33.33333333333333,06:04:21
Anthony Cliche,Northern Michigan,4,5,9,-4,35,38808.0,14,0.0,0.0,34,,10:46:48
Anthony Dowd,Arizona State,2,11,13,13,39,35955.0,10,0.0,1.0,37,0.0,09:59:15
Anthony Galante,Stonehill,12,9,21,-6,74,30872.0,37,20.0,14.0,30,58.82352941176471,08:34:32
Anthony Kehrer,Wisconsin,1,11,12,13,45,39953.0,14,0.0,0.0,35,,11:05:53
Anthony Lucarelli,Long Island,4,4,8,2,30,23285.0,8,180.0,144.0,27,55.55555555555556,06:28:05
Anthony Menghini,Minnesota-Duluth,12,7,19,6,107,33175.0,15,1.0,2.0,35,33.33333333333333,09:12:55
Anthony Messuri,Northeastern,0,1,1,4,1,3898.0,0,14.0,20.0,15,41.17647058823529,01:04:58
Anthony Yu,Air Force,3,4,7,-7,38,23361.0,8,0.0,1.0,29,0.0,06:29:21
