Clean_Player,Team,Last Team,League,Prev_League_Bin
Alexander Lundman,Lindenwood,Bemidji State,NCAA-DI,
Alexander Tell,St Thomas,"Linkoping HC J20 ""A""",Europe,
Anthony Galante,Stonehill,Johnstown,NAHL,
Artem Buzoverya,Bentley,Hobart,DIII,
Ben Ivey,Army,Amarillo,NAHL,
Brady Cleveland,Colorado College,Wisconsin,NCAA-DI,
Brian Nicholas,Brown,Souix City,USHL,
Cade Christenson,Penn State,Sherwood Park,BCHL,
Caleb Price,Mercyhurst,Lindenwood,NCAA-DI,
Cam Mannion,Stonehill,Thayer Academy,PREP,
Casper Nassen,Miami,Frölunda HC J20,Europe,
Cayden Casey,St Lawrence,Minot,NAHL,
Charles Banquier,Stonehill,Prince George,BCHL,
Charlie Leddy,Quinnipiac,Boston College,NCAA-DI,
Chris Pelosi,Quinnipiac,Sioux Fall,USHL,
Christopher Lie,Ferris State,Malmö Redhawks J20,Europe,
Conor Ronayne,Stonehill,Smiths Falls,CCHL,
DJ Hart,Union,Lincoln,USHL,
Dakoda Rheaume-Mullen,Michigan,USA U18,NTDP,
Danny Ciccarello,Northern Michigan,RPI,NCAA-DI,
David Cote,Union,Steinbach Pistons,MJHL,
David Hymovitch,Arizona State,Muskegon,USHL,
Dean Schwenninger,Stonehill,Minot Minotauros,NAHL,
Devon Carlstrom,Stonehill,Aberdeen,NAHL,
Dominick Campione,Stonehill,Brooks,AJHL,
Drew Hockley,Quinnipiac,Victoria Grizzlies,BCHL,
Ethan Gauer,St Thomas,Bemidji State,NCAA-DI,
Felix Trudeau,Sacred Heart,Maine,NCAA-DI,
Filip Sitar,Connecticut,Malmo RedHawks,SHL,
Frank Ireland,Stonehill,Jr. Bruins,NCDC,
Grant Docter,St Thomas,Michigan Tech,NCAA-DI,
Hunter Hastings,Stonehill,New Mexico,NAHL,
Isak Walther,Vermont,Södertälje SK J20,Europe,
Ivan Korodiuk,Bowling Green,Madison,USHL,
JP Steele,Alaska Anchorage,Maine,NAHL,
JR Perdion,Long Island,Prince George,BCHL,
Jack Bar,Harvard,Chicago Steel,USHL,
Jack Sparkes,Clarkson,Chilliwack,BCHL,
Jaedon Kerr,Notre Dame,Waterloo,USHL,
Jake Black,Bentley,Connecticut,NCAA-DI,
Jake Cady,Stonehill,South Shore,NCDC,
Jake Hewitt,Sacred Heart,Army,NCAA-DI,
Jason Ahearn,Niagara,Johnstown,NAHL,
Jax Wismer,Vermont,Alberni Valley,BCHL,
Jeremi Tremblay,Sacred Heart,Maryland,NAHL,
"Jimmy Dowd, Jr.",Penn State,Chicago Steel,USHL,
Joe Molenaar,Minnesota Duluth,Cedar Rapids,USHL,
Joe Schiller,Northern Michigan,Cedar Rapids,USHL,
John Beaton,Rensselaer,Youngstown,USHL,
John Evans,Lindenwood,West Kelowna Warriors,BCHL,
Johnny Druskinis,Lake Superior,Michigan,NCAA-DI,
Jonathan Castagna,Cornell,St. Andrew's College,PREP,
Joseph Grainda,Stonehill,Chippewa Steel,NAHL,
Joseph Pierce,Minnesota Duluth,Lincoln Stars,USHL,
Justin Barker,Stonehill,Calgary,AJHL,
Justin Solovey,Harvard,Muskegon,USHL,
Kazimier Sobieski,Massachusetts,Sioux Falls Stampede,USHL,
Kyle Heath,Stonehill,Middlesex School,PREP,
Kyle Kukkonen,Wisconsin,Michigan Tech,NCAA-DI,
Logan Hensler,Wisconsin,USNTDP,USNTDP,
Luca Münzenberger,Vermont,Kölner Junghaie U20,Europe,
Lucas Olvestad,Massachusetts,Dubuque Fighting Saints,USHL,
Lucas St. Louis,Harvard,Dubuque Fighting Saints,USHL,
Luke Khozozian,Harvard,East Coast Wizards,EHL,
Matthew Kursonis,Holy Cross,Alberni Valley Bulldogs,BCHL,
Matvei Kabanov,Bowling Green,Northern Michigan,NCAA-DI,
Max Helgeson,Alaska Anchorage,Linwood,ACHA,
Michael Colella,Canisius,Northern Michigan,NCAA-DI,
Mick Frechette,Boston University,Dexter Southfield,PREP,
Mick Thompson,Harvard,Chicago Steel,USHL,
Mike Brown,Lake Superior,Merrimack,NCAA-DI,
NIck Mikan,St Thomas,Vernon Vipers,BCHL,
Nate Benoit,Quinnipiac,North Dakota,NCAA-DI,
Nicholas DeGraves,Penn State,Brooks,BCHL,
Nicholas Trela,Long Island,St. Lawrence,NCAA-DI,
Nick Cafarelli,RIT,New Hampshire,NCAA-DI,
Nicolas Ardanaz,Northern Michigan,RPI,NCAA-DI,
Paul Minnehan,Sacred Heart,Des Moines Buccaneers,USHL,
Rhett Pitlick,Minnesota State,Minnesota,NCAA-DI,
Rihards Simanovics,Miami,Amarillo,NAHL,
Ryan Davies,Stonehill,Valley Jr. Warriors,EHL,
Sascha Boumedienne,Boston University,Youngstown,USHL,
Simon Jellus,Vermont,Karlskrona HK,Sweden,
Sixen Jennersjö,Long Island,Northeast Generals,NAHL,
Spencer Cox,Miami,Long Island,NCAA-DI,
Timo Bakos,Lake Superior,Starbulls,Oberliga,
Tobias Abrahamsson,St Thomas,HV71,Europe,
Tom Leppa,Michigan Tech,Fargo,USHL,
Tomáš Mazura,St Lawrence,Providence,NCAA-DI,
Tristan Sarsland,Clarkson,Benilde-St. Margaret's School,PREP,
Trym Lokkeberg,Dartmouth,Mora IK J20,Europe,
Will Horcoff,Michigan,USNTDP,NTDP,
Will Hughes,Harvard,Green Bay,USHL,
Zack Sharp,Western Michigan,Cedar Rapids,USHL,
Joshua Barnes,American Intl,Des Moines Buccaneers,USHL,
Nicholas Wallace,American Intl,Quinnipiac,NCAA-DI,
Tobias Larsen,American Intl,Färjestad BK J20,Europe,
Tomáš Mazura,St Lawrence,Providence,NCAA-DI,
