Current Team,Last_Name,First_Name,No,Position,Pos_OVR,Pos_Prime,Pos_Second,Yr,Ht,Wt,DOB,Hometown,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League,City,State_Province,Country,Captaincy,Shoots
Air Force,Clafton,Carter,35,G,G,G,,,"6'2""",174.0,2002,"Grand Rapids, MN, USA",74.0,,,,,,Grand Rapids,MN,USA,,L
Air Force,Hopp,Toby,37,G,G,G,,,"6'1""",185.0,2004,"Maple Grove, MN, USA",73.0,,,,,,Maple Grove,MN,USA,,L
Air Force,Krick,Dylan,39,G,G,G,,,"6'2""",146.0,2005,"West Chester, PA, USA",74.0,,,,,,West Chester,PA,USA,,L
Air Force,Spaniol,Zane,33,G,G,G,,,"6'3""",185.0,2004,"Ham Lake, MN, USA",75.0,,,,,,Ham Lake,MN,USA,,L
Air Force,Wasik,Dominik,30,G,G,G,,,"6'1""",165.0,2002,"Superior, WI, USA",73.0,,,,,,Superior,WI,USA,,L
Air Force,Beard,Calvin,19,D,D,D,,,"6'2""",179.0,2005,"Southborough, MA, USA",74.0,,,,,,Southborough,MA,USA,,R
Air Force,Cunningham,Nolan,20,D,D,D,,,"6'2""",185.0,2001,"Great Falls, MT, USA",74.0,,,,,,Great Falls,MT,USA,,R
Air Force,Farrell,Nate,58,D,D,D,,,"6'0""",185.0,2004,"Wheaton, IL, USA",72.0,,,,,,Wheaton,IL,USA,,L
Air Force,Hedden,Chris,22,D,D,D,,,"6'0""",185.0,2002,"Kalamazoo, MI, USA",72.0,,,,,,Kalamazoo,MI,USA,,L
Air Force,Houge,Simon,6,D,D,D,,,"5'7""",172.0,2004,"Woodbury, MN, USA",67.0,,,,,,Woodbury,MN,USA,,L
Air Force,Janzig,Beau,2,D,D,D,,,"6'2""",201.0,2003,"Hermantown, MN, USA",74.0,,,,,,Hermantown,MN,USA,,R
Air Force,Jones,Will,4,D,D,D,,,"5'9""",170.0,2004,"Brentwood, TN, USA",69.0,,,,,,Brentwood,TN,USA,,R
Air Force,Morque,Ren,3,D,D,D,,,"6'1""",190.0,2003,"Grand Rapids, MN, USA",73.0,,,,,,Grand Rapids,MN,USA,,L
Air Force,Peterson,Jake,7,D,D,D,,,"6'2""",190.0,2003,"Rosemount, MN, USA",74.0,,,,,,Rosemount,MN,USA,,R
Air Force,Staring,Will,44,D,D,D,,,"6'2""",194.0,2003,"Springfield, VA, USA",74.0,,,,,,Springfield,VA,USA,,L
Air Force,Christian,Cole,8,F,F,F,,,"5'8""",154.0,2004,"Duluth, MN, USA",68.0,,,,,,Duluth,MN,USA,,L
Air Force,Dawson,Will,14,F,F,F,,,"6'0""",183.0,2003,"Traverse City, MI, USA",72.0,,,,,,Traverse City,MI,USA,,L
Air Force,DuBois,Owen,15,F,F,F,,,"6'4""",201.0,2002,"Madison, WI, USA",76.0,,,,,,Madison,WI,USA,,L
Air Force,Genest,Oli,10,F,F,F,,,"6'1""",194.0,2004,"Sanford, ME, USA",73.0,,,,,,Sanford,ME,USA,,R
Air Force,Gibbons,Brendan,64,C,F,C,,,"6'2""",205.0,2002,"South Kingstown, RI, USA",74.0,,,,,,South Kingstown,RI,USA,,R
Air Force,Jacobs,Sam,11,F,F,F,,,"6'0""",185.0,2002,"Plymouth, MN, USA",72.0,,,,,,Plymouth,MN,USA,,L
Air Force,Kadlecik,Michael,26,F,F,F,,,"6'0""",170.0,2004,"Lansing, NY, USA",72.0,,,,,,Lansing,NY,USA,,R
Air Force,McCormick,Mason,13,LW,F,LW,,,"6'4""",205.0,2001,"Verona, WI, USA",76.0,,,,,,Verona,WI,USA,,L
Air Force,Moxham,Cade,12,LW,F,LW,C,,"6'2""",201.0,2004,"Calgary, AB, CAN",74.0,,,,,,Calgary,AB,CAN,,L
