Old Team,Player,Yr.,Status
Bowling Green,Michael Bevilacqua,So,Transferred to Lindenwood
St. Thomas,Ethan Elias,Fr,Transferred to Lindenwood
Merrimack,Michael Citara,Sr,Transferred to Alaska
Union,David Cote,Fr,Transferred to Northern Michigan
Alaska,Will Hilfiker,Jr,Transferred to Utica
American Int'l,Tyler Procious,Fr,Transferred to Utica
Vermont,Nick Ahern,So,Transferred to Utica
Alaska-Anchorage,Alex Gomez,Jr,Transferred to Utica
Rensselaer,Nick Strom,Sr,Transferred to Canisius
Clarkson,Carter Rose,So,Transferred to Union
St. Thomas,Nicholas Mikan,Fr,Transferred to Miami
American Int'l,Alexander Malinowski,Jr,Transferred to Alaska
Bowling Green,Matvei Kabanov,So,Signed with Lada Togliatti Russia
Merrimack,Tyler Young,Jr,Transferred to North Dakota
New Hampshire,Jack Babbage,Sr,Transferred to St. Lawrence
Minnesota State,Brett Moravec,So,Signed with Indy ECHL
Miami,Teodor Forssander,Fr,Signed with Tyringe SoSS Sweden
Penn State,Arsenii Sergeev,Jr,Signed with Calgary (NHL)
Niagara,Johnny Wescoe,Jr,Transferred to Niagara
Alaska-Anchorage,Davis Goukler,Jr,Transferred to Utica
American Int'l,Hunter Longhi,So,Transferred to Utica
Quinnipiac,Nate Benoit,Fr,Transferred to Long Island
Northern Michigan,Rasmus Larsson,Fr,Transferred to Robert Morris
Union,Joseph Messina,So,Transferred to Canisius
Wisconsin,Luke Buss,Fr,Transferred to Union
Quinnipiac,Michael Salandra,Fr,Transferred to Brown
Long Island,Cade Mason,Jr,Transferred to Northern Michigan
Mass.-Lowell,Girts Silkalns,So,Transferred to Northern Michigan
Lindenwood,Joe Prouty,Jr,Transferred to Michigan Tech
Lindenwood,Jack Anderson,Jr,Transferred to Michigan Tech
Michigan,Tanner Rowe,So,Transferred to Ferris State
Yale,Luke Pearson,Sr,Transferred to Notre Dame
Northern Michigan,Julian Molinaro,Fr,Transferred to Michigan
American Int'l,Timofei Khokhlachev,Jr,Signed with Lada Togliatti Russia
American Int'l,Theo Angesved,So,Signed with Tingsryds AIF Sweden
Lindenwood,Owen Bartoszkiewicz,Jr,Transferred to Michigan Tech
Penn State,Jason Gallucci,So,Transferred to Canisius
Providence,Samo Meritähti,Jr,Transferred to Augustana
Boston University,Alexander Zetterberg,So,Transferred to Minnesota State
Boston University,Tom Willander,So,Signed with Vancouver (NHL)
Miami,Artur Turansky,Jr,Signed with HK Spisska Nova Ves Slovakia
American Int'l,Tobias Bjercke Larsen,So,Transferred to Bentley
Robert Morris,Walter Zacher,Jr,Transferred to Canisius
Miami,Frankie Carogioiello,Sr,Transferred to St. Lawrence
Northern Michigan,Billy Renfrew,So,Transferred to Stonehill
Miami,Zane Demsey,Sr,Transferred to Northern Michigan
American Int'l,Adam Manji,So,Transferred to Ferris State
American Int'l,John Lundy,Sr,Transferred to Ferris State
Minnesota-Duluth,Matthew Perkins,Jr,Transferred to Northeastern
Western Michigan,Tristan Lemyre,Sr,Transferred to Minnesota State
American Int'l,Chase Clark,Sr,Transferred to Canisius
Denver,Freddie Halyk,So,Transferred to Brown
Union,Kyle Chauvette,Jr,Transferred to New Hampshire
Princeton,Jack Cronin,Sr,Transferred to New Hampshire
Bentley,Max Beckford,Fr,Transferred to Minnesota State
North Dakota,Hobie Hedquist,So,Transferred to Ferris State
Western Michigan,Jack Mesic,So,Transferred to Ferris State
Wisconsin,Sawyer Scholl,So,Transferred to Minnesota State
Rensselaer,Sutter Muzzatti,Jr,Transferred to Notre Dame
Merrimack,Max Wattvil,So,Transferred to Robert Morris
Arizona State,Cole Gordon,So,Transferred to Rensselaer
Miami,Max Dukovac,Jr,Transferred to Ferris State
Ohio State,Caden Brown,Sr,Transferred to Ferris State
Mass.-Lowell,Dylan Cook,Fr,Transferred to Bentley
Northern Michigan,Matthew Romer,So,Transferred to Stonehill
Long Island,Austin Brimmer,Jr,Transferred to RIT
Bowling Green,Salvatore Evola,Jr,Transferred to Mercyhurst
Minnesota State,Tyler Haskins,Sr,Transferred to Mercyhurst
Minnesota-Duluth,Zach Sandy,Jr,Transferred to North Dakota
Michigan Tech,Isaac Gordon,So,Transferred to North Dakota
American Int'l,Blake Dangos,Sr,Transferred to Long Island
Merrimack,Trevor Griebel,Jr,Transferred to Long Island
American Int'l,Casey McDonald,Jr,Transferred to Long Island
American Int'l,Brett Rylance,Jr,Transferred to Long Island
American Int'l,Noah Serdachny,Sr,Transferred to Long Island
Minnesota-Duluth,Klayton Knapp,Fr,Transferred to Michigan Tech
Arizona State,Zakari Brice,Fr,Transferred to Alaska
Union,Lucas Massie,Fr,Transferred to Robert Morris
Lake Superior,Easton Hesse,Sr,Transferred to Bentley
Minnesota-Duluth,Kyle Bettens,Jr,Transferred to Northern Michigan
Clarkson,Ellis Rickwood,Jr,Transferred to North Dakota
Michigan State,Vladislav Lukashevich,Fr,Transferred to Miami
Minnesota State,Luke Ashton,Fr,Transferred to Cornell
Minnesota State,Luc Wilson,Jr,Transferred to Rensselaer
Massachusetts,Kazimier Sobieski,Fr,Transferred to Rensselaer
Merrimack,Ethan Bono,So,Transferred to Rensselaer
RIT,Matthew Wilde,So,Transferred to Massachusetts
Wisconsin,Owen Mehlenbacher,So,Transferred to Massachusetts
Michigan State,Michael DeAngelo,Fr,Transferred to Massachusetts
Canisius,Dominic Payne,Fr,Transferred to Mass.-Lowell
Maine,Nicholas Niemo,Sr,Transferred to Niagara
Union,Josh Phillips,Sr,Transferred to Canisius
Merrimack,David Sacco,So,Transferred to Vermont
Maine,Brian Morse,Fr,Transferred to Ferris State
Michigan,Evan Werner,So,Transferred to Notre Dame
Boston University,Doug Grimes,So,Transferred to Miami
Canisius,Matteo Giampa,So,Transferred to Miami
Western Michigan,Ean Somoza,So,Transferred to Minnesota State
Long Island,Noah Rupprecht,So,Transferred to Ferris State
Ohio State,Noah Powell,Fr,Transferred to Arizona State
Lake Superior,Jacob Conrad,Fr,Transferred to Minnesota State
Quinnipiac,Ryan Smith,Fr,Transferred to Miami
Colorado College,Carsen Musser,Fr,Transferred to St. Thomas
Merrimack,Hunter Wallace,Fr,Transferred to Niagara
RIT,Tyler Fukakusa,So,Transferred to Northeastern
Merrimack,Vann Yuhas,Fr,Transferred to Bemidji State
Western Michigan,Ethan Wolthers,Jr,Transferred to Sacred Heart
Boston University,Shane Lachance,So,Signed with New Jersey (NHL)
Army,Mac Gadowsky,So,Transferred to Penn State
Western Michigan,Alex Bump,So,Signed with Philadelphia (NHL)
Boston University,Devin Kaplan,Jr,Signed with Philadelphia (NHL)
Michigan,Will Felicio,Fr,Transferred to Union
Niagara,Tyler Wallace,So,Transferred to Rensselaer
American Int'l,Alfred Lindberg,So,Transferred to Rensselaer
Mass.-Lowell,Scout Truman,Jr,Transferred to Minnesota-Duluth
Cornell,Kyler Kovich,Sr,Transferred to Minnesota-Duluth
Miami,Ethan Dahlmeir,Fr,Transferred to Minnesota-Duluth
Connecticut,Jack Pascucci,Jr,Transferred to Canisius
Colorado College,Ryan Beck,Jr,Transferred to Lake Superior
New Hampshire,Ryan Conmy,So,Transferred to Boston College
Maine,Patriks Berzins,Fr,Transferred to St. Cloud State
Colorado College,Ethan Straky,Jr,Transferred to Ohio State
Cornell,Ben Robertson,So,Transferred to Michigan
Denver,Jared Wright,Jr,Signed with Los Angeles (NHL)
Boston University,Quinn Hutson,Jr,Signed with Edmonton (NHL) as free agent
Maine,John Dalton,So,Transferred to Bentley
Brown,Lawton Zacher,So,Transferred to Northeastern
Providence,Austen May,Jr,Transferred to Northeastern
Miami,Rihards Simanovics,So,Transferred to Bowling Green
Michigan,Cameron Korpi,Fr,Transferred to Union
Northeastern,Seth Constance,Fr,Transferred to Colorado College
Arizona State,Ryan Alexander,Jr,Transferred to Colorado College
Colorado College,Tyler Dunbar,So,Transferred to Union
North Dakota,Owen McLaughlin,Jr,Transferred to Boston University
Omaha,Kevin Reidler,Fr,Transferred to Penn State
Ferris State,Travis Shoudy,Jr,Transferred to Colorado College
Denver,Aidan Thompson,Jr,Signed with Chicago (NHL)
Denver,Zeev Buium,So,Signed with Minnesota (NHL)
Boston University,Ryan Greene,Jr,Signed with Chicago (NHL)
Arizona State,Charlie Schoen,Jr,Transferred to St. Thomas
St. Lawrence,Felikss Gavars,Jr,Transferred to Minnesota State
Colgate,Nic Belpedio,Sr,Transferred to Ferris State
Rensselaer,Félix Caron,Fr,Transferred to Ohio State
Minnesota-Duluth,Jack Smith,Jr,Transferred to Minnesota State
Michigan Tech,Nick Williams,So,Transferred to St. Thomas
Ohio State,Dylan Godbout,Fr,Transferred to St. Thomas
Minnesota-Duluth,Anthony Menghini,So,Transferred to North Dakota
Omaha,Dylan Gratton,Sr,Transferred to Vermont
Ferris State,Caiden Gault,Jr,Transferred to Northern Michigan
Bemidji State,Rhys Chiddenton,So,Transferred to Canisius
,Shane Soderwall,,Transferred to Clarkson
American Int'l,Joshua Barnes,Jr,Transferred to Sacred Heart
Alaska,Brendan Ross,Fr,Transferred to Providence
Mass.-Lowell,Mitchell Becker,Jr,Transferred to Niagara
Arizona State,Gibson Homer,Jr,Transferred to North Dakota
Harvard,Alex Gaffney,Sr,Transferred to St. Thomas
Minnesota State,Eli Pulver,Fr,Transferred to Wisconsin
Maine,Liam Lesakowski,So,Transferred to Sacred Heart
Northeastern,Benjamin Poitras,Fr,Transferred to Brown
Rensselaer,Tyler Hotson,So,Transferred to Bowling Green
Omaha,Liam Watkins,Fr,Transferred to Minnesota State
Minnesota-Duluth,Cole Spicer,So,Transferred to Arizona State
Wisconsin,William Gramme,So,Transferred to Northern Michigan
St. Cloud State,Warren Clark,So,Transferred to Northern Michigan
Minnesota-Duluth,Aiden Dubinsky,Jr,Transferred to Wisconsin
Ohio State,Theo Wallberg,So,Transferred to Western Michigan
Boston College,Jacob Fowler,So,Signed with Montreal (NHL)
Quinnipiac,Noah Eyre,Fr,Transferred to Holy Cross
Omaha,Isaiah Norlin,Fr,Transferred to Colgate
Harvard,Kyle Aucoin,Sr,Transferred to Miami
Lindenwood,Noah Houle,Fr,Transferred to Clarkson
Omaha,Charlie Lurie,So,Transferred to Minnesota State
Alaska-Anchorage,Max Helgeson,Sr,Transferred to Miami
Alaska-Anchorage,Dylan Finlay,Jr,Transferred to Northeastern
St. Cloud State,Colin Ralph,Fr,Transferred to Michigan State
Bentley,Connor Hasley,Jr,Transferred to Arizona State
Niagara,Jason Ahearn,Sr,Transferred to Mass.-Lowell
Minnesota-Duluth,Luke Johnson,So,Transferred to Alaska-Anchorage
Clarkson,Ryan Taylor,Jr,Transferred to Robert Morris
Quinnipiac,Chase Ramsay,So,Transferred to Sacred Heart
Omaha,Noah Ellis,Jr,Transferred to Sacred Heart
Arizona State,David Hymovitch,So,Transferred to Holy Cross
Northeastern,Michael Fisher,Fr,Transferred to Cornell
Michigan State,Austin Oravetz,So,Transferred to Merrimack
Michigan State,Luca Di Pasquo,So,Transferred to Minnesota
Rensselaer,Max Smolinski,Jr,Transferred to St. Cloud State
