Player,Yr.,Pos.,Old Team,New Team,Stats
Logan Morrell,Fr,F,Michigan Tech,Arizona State,"11-10—21, +5"
John Waldron,Jr,F,Miami,Arizona State,"4-16—20, -19"
Noah Powell,Fr,F,Ohio State,Arizona State,"2-3—5, 0"
Connor Hasley,Jr,G,Bentley,Arizona State,"36 gm, 1.96, .925"
Ryan Alexander,Jr,F,Arizona State,Colorado College,"3-5—8, +11"
Seth Constance,Fr,D,Northeastern,Colorado College,"0-1—1, -4"
Matteo Giampa,So,F,Canisius,Miami,"8-22—30, -10"
Maximilion Helgeson,Sr,F,Alaska-Anchorage,Miami,"8-11—19, -7"
Ryan Smith,Fr,F,Quinnipiac,Miami,"2-3—5, -10"
Doug Grimes,So,F,Boston University,Miami,"1-0—1, -4"
Nick Mikan,Fr,F,St. Thomas,Miami,"0-0—0, -2"
Vladislav Lukashevich,Fr,D,Michigan State,Miami,"1-6—7, +11"
Kyle Aucoin,Sr,D,Harvard,Miami,"2-2—4, -3"
Kyle Gaffney,Jr,F,Alaska,Minnesota Duluth,"6-14—20, -6"
Scout Truman,Jr,F,Mass.-Lowell,Minnesota Duluth,"10-8—18, -3"
Kyler Kovich,Sr,F,Cornell,Minnesota Duluth,"5-9—14, +13"
Brady Cleveland,So,D,Colorado College,Minnesota Duluth,"1-2—3, -3"
Ethan Dahlmeir,Fr,G,Miami,Minnesota Duluth,"14 gm, 4.04, .870"
Ellis Rickwood,Jr,F,Clarkson,North Dakota,"10-25—35, +16"
Anthony Menghini,So,F,Minnesota-Duluth,North Dakota,"12-7—19, +6"
Tyler Young,Jr,F,Merrimack,North Dakota,"6-4—10, -4"
Gibson Homer,Jr,G,Arizona State,North Dakota,"16 gm, 2.56, .919"
Zach Sandy,Jr,G,Minnesota-Duluth,North Dakota,"4 gm, 3.42, .859"
Max Smolinski,Jr,D,Rensselaer,St. Cloud State,"5-10—15, -3"
Finn Loftus,Fr,D,Massachusetts,St. Cloud State,"0-1—1, +3"
Patriks Berzins,Fr,G,Maine,St. Cloud State,"2 gm, 1.79, .900"
Zaccharya Wisdom,So,F,Colorado College,Western Michigan,"8-13—21, +3"
William Whitelaw,Jr,F,Michigan,Western Michigan,"11-7—18, +7"
Zach Bookman,Jr,D,Merrimack,Western Michigan,"3-14—17, -5"
Theo Wallberg,So,D,Ohio State,Western Michigan,"0-8—8, +13"
Jayden Perron,So,F,North Dakota,Michigan,"10-9—19, -2"
Ben Robertson,So,D,Cornell,Michigan,"2-13—15, +11"
