Clean_Player,Team,Last Team,League,Prev_League_Bin
Aaron Reierson,Alaska Anchorage,Langley Rivermen,BCHL,CJHL (Canadian Jr A)
Aidan Litke,Niagara,Evansville Thunderbolts,SPHL,Pro (AHL/ECHL/Other)
Alex Calbeck,Western Michigan,Chicago Steel,USHL,USHL (non?NTDP)
Cade Christenson,Penn State,Sherwood Park,BCHL,CJHL (Canadian Jr A)
Davis Codd,Niagara,Kalamazoo Wings,ECHL,Pro (AHL/ECHL/Other)
Jacob Terpstra,Alaska Anchorage,Alberni Valley Bulldogs,BCHL,CJHL (Canadian Jr A)
Kason Muscutt,Michigan,Sioux City Musketeers,USHL,USHL (non?NTDP)
Mats Lindgren,Colorado College,Bakersfield Condors,AHL,Pro (AHL/ECHL/Other)
Olivier Beaulieu,Northern Michigan,Chilliwack Chiefs,BCHL,CJHL (Canadian Jr A)
Oscar Hemming,Boston College,Kiekko-Espoo U20,U20 SM-sarja,Europe
Ryan Davies,Stonehill,Valley Jr. Warriors,EHL (Eastern Hockey league),US (DIII/Prep/Other)
Ryan Kroll,Mass Lowell,Des Moines Buccaneers,USHL,USHL (non?NTDP)
Ryan McCleary,Omaha,Cincinnati Cyclones,ECHL,Pro (AHL/ECHL/Other)
Tynan Lawrence,Boston University,Muskegon Lumberjacks,USHL,USHL (non?NTDP)
