Date,Conference,Game_Notes,Away_Team,Away_Team_Link,Away_Score,Home_Team,Home_Team_Link,Home_Score,OT,Box_Link,Metrics_Link,Day,Game_ID
2025-10-03,Exhibition,,Windsor,,0,Michigan State,/reports/team/Michigan-State/32,4,,,,Friday,2025-10-03_Michigan State_Windsor
2025-10-03,Exhibition,,Augustana,/reports/team/Augustana/64,2,St Cloud State,/reports/team/St-Cloud-State/52,2,ot,,,Friday,2025-10-03_St. Cloud State_Augustana
2025-10-03,Exhibition,,Air Force,/reports/team/Air-Force/1,2,Omaha,/reports/team/Omaha/37,3,ot,,,Friday,2025-10-03_Omaha_Air Force
2025-10-03,Exhibition,,Simon Fraser,,1,Providence,/reports/team/Providence/46,7,,,,Friday,2025-10-03_Providence_Simon Fraser
2025-10-03,Exhibition,,Notre Dame,/reports/team/Notre-Dame/43,5,US Under 18,,2,,,,Friday,2025-10-03_US Under-18_Notre Dame
2025-10-03,Exhibition,,New Hampshire,/reports/team/New-Hampshire/38,2,Maine,/reports/team/Maine/25,2,ot,,,Friday,2025-10-03_Maine_New Hampshire
2025-10-03,Non-Conference,,Clarkson,/reports/team/Clarkson/14,1,Canisius,/reports/team/Canisius/13,3,,/box/final/20251003/clk/cns/,/box/metrics.php?gd=110437,Friday,2025-10-03_Canisius_Clarkson
2025-10-03,Non-Conference,,Connecticut,/reports/team/Connecticut/17,2,Colorado College,/reports/team/Colorado-College/16,4,,/box/final/20251003/con/cc_/,/box/metrics.php?gd=111095,Friday,2025-10-03_Colorado College_Connecticut
2025-10-03,Non-Conference,,Bemidji State,/reports/team/Bemidji-State/7,9,Alaska Anchorage,/reports/team/Alaska-Anchorage/3,2,,/box/final/20251003/bmj/aka/,/box/metrics.php?gd=110781,Friday,2025-10-03_Alaska-Anchorage_Bemidji State
2025-10-03,Non-Conference,,Mercyhurst,/reports/team/Mercyhurst/28,1,Michigan,/reports/team/Michigan/31,11,,/box/final/20251003/mrc/mic/,/box/metrics.php?gd=110697,Friday,2025-10-03_Michigan_Mercyhurst
2025-10-03,Non-Conference,,Michigan Tech,/reports/team/Michigan-Tech/33,3,Minnesota,/reports/team/Minnesota/34,6,,/box/final/20251003/mtu/min/,/box/metrics.php?gd=110988,Friday,2025-10-03_Minnesota_Michigan Tech
2025-10-03,Non-Conference,,Wisconsin,/reports/team/Wisconsin/58,3,Lindenwood,/reports/team/Lindenwood/433,0,,/box/final/20251003/wis/lin/,/box/metrics.php?gd=111352,Friday,2025-10-03_Lindenwood_Wisconsin
2025-10-03,Non-Conference,,Penn State,/reports/team/Penn-State/60,6,Arizona State,/reports/team/Arizona-State/61,3,,/box/final/20251003/psu/asu/,/box/metrics.php?gd=110368,Friday,2025-10-03_Arizona State_Penn State
2025-10-03,Non-Conference,,Quinnipiac,/reports/team/Quinnipiac/47,4,Boston College,/reports/team/Boston-College/9,3,,/box/final/20251003/qui/bc_/,/box/metrics.php?gd=111045,Friday,2025-10-03_Boston College_Quinnipiac
2025-10-03,Non-Conference,,Ferris State,/reports/team/Ferris-State/21,4,Miami,/reports/team/Miami/30,6,,/box/final/20251003/fsu/mia/,/box/metrics.php?gd=110572,Friday,2025-10-03_Miami_Ferris State
2025-10-03,Non-Conference,,Minnesota Duluth,/reports/team/Minnesota-Duluth/36,5,Alaska,/reports/team/Alaska/4,1,,/box/final/20251003/mnd/akf/,/box/metrics.php?gd=110473,Friday,2025-10-03_Alaska_Minnesota-Duluth
2025-10-03,Hockey East,,Merrimack,/reports/team/Merrimack/29,0,Mass Lowell,/reports/team/Mass-Lowell/26,4,,/box/final/20251003/mer/uml/,/box/metrics.php?gd=110830,Friday,2025-10-03_Mass.-Lowell_Merrimack
2025-10-04,Non-Conference,,Lake Superior,/reports/team/Lake-Superior/24,5,Stonehill,/reports/team/Stonehill/422,3,,/box/final/20251004/lss/stn/,/box/metrics.php?gd=111151,Saturday,2025-10-04_Stonehill_Lake Superior
2025-10-04,Non-Conference,,Bemidji State,/reports/team/Bemidji-State/7,5,Alaska Anchorage,/reports/team/Alaska-Anchorage/3,0,,/box/final/20251004/bmj/aka/,/box/metrics.php?gd=110782,Saturday,2025-10-04_Alaska-Anchorage_Bemidji State
2025-10-04,Non-Conference,,Army,/reports/team/Army/6,1,Union,/reports/team/Union/54,1,ot,/box/final/20251004/arm/uni/,/box/metrics.php?gd=110801,Saturday,2025-10-04_Union_Army
2025-10-04,Non-Conference,,Penn State,/reports/team/Penn-State/60,4,Arizona State,/reports/team/Arizona-State/61,2,,/box/final/20251004/psu/asu/,/box/metrics.php?gd=110369,Saturday,2025-10-04_Arizona State_Penn State
2025-10-04,Non-Conference,,Connecticut,/reports/team/Connecticut/17,5,Colorado College,/reports/team/Colorado-College/16,1,,/box/final/20251004/con/cc_/,/box/metrics.php?gd=111096,Saturday,2025-10-04_Colorado College_Connecticut
2025-10-04,Non-Conference,,St Lawrence,/reports/team/St-Lawrence/53,2,Niagara,/reports/team/Niagara/39,5,,/box/final/20251004/stl/nia/,/box/metrics.php?gd=110957,Saturday,2025-10-04_Niagara_St. Lawrence
2025-10-04,Non-Conference,,Ferris State,/reports/team/Ferris-State/21,1,Miami,/reports/team/Miami/30,3,,/box/final/20251004/fsu/mia/,/box/metrics.php?gd=110573,Saturday,2025-10-04_Miami_Ferris State
2025-10-04,Non-Conference,,St Thomas,/reports/team/St-Thomas/63,4,St Cloud State,/reports/team/St-Cloud-State/52,3,,/box/final/20251004/stt/stc/,/box/metrics.php?gd=110746,Saturday,2025-10-04_St. Cloud State_St. Thomas
