Date,Conference,Game_Notes,Away_Team,Away_Team_Link,Away_Score,Home_Team,Home_Team_Link,Home_Score,OT,Box_Link,Metrics_Link,Day,Game_ID
2025-10-03,Non-Conference,,Clarkson,/reports/team/Clarkson/14,,Canisius,/reports/team/Canisius/13,,,,,Friday,2025-10-03_Canisius_Clarkson
2025-10-03,Non-Conference,,Ferris State,/reports/team/Ferris-State/21,,Miami,/reports/team/Miami/30,,,,,Friday,2025-10-03_Miami_Ferris State
2025-10-03,Non-Conference,,Mercyhurst,/reports/team/Mercyhurst/28,,Michigan,/reports/team/Michigan/31,,,,,Friday,2025-10-03_Michigan_Mercyhurst
2025-10-03,Non-Conference,,Michigan Tech,/reports/team/Michigan-Tech/33,,Minnesota,/reports/team/Minnesota/34,,,,,Friday,2025-10-03_Minnesota_Michigan Tech
2025-10-03,Non-Conference,,Augustana,/reports/team/Augustana/64,,St Cloud State,/reports/team/St-Cloud-State/52,,,,,Friday,2025-10-03_St. Cloud State_Augustana
2025-10-03,Non-Conference,,Quinnipiac,/reports/team/Quinnipiac/47,,Boston College,/reports/team/Boston-College/9,,,,,Friday,2025-10-03_Boston College_Quinnipiac
2025-10-03,Non-Conference,,Connecticut,/reports/team/Connecticut/17,,Colorado College,/reports/team/Colorado-College/16,,,,,Friday,2025-10-03_Colorado College_Connecticut
2025-10-03,Non-Conference,,Bemidji State,/reports/team/Bemidji-State/7,,Alaska Anchorage,/reports/team/Alaska-Anchorage/3,,,,,Friday,2025-10-03_Alaska-Anchorage_Bemidji State
2025-10-03,Non-Conference,,Penn State,/reports/team/Penn-State/60,,Arizona State,/reports/team/Arizona-State/61,,,,,Friday,2025-10-03_Arizona State_Penn State
2025-10-03,Non-Conference,,Minnesota Duluth,/reports/team/Minnesota-Duluth/36,,Alaska,/reports/team/Alaska/4,,,,,Friday,2025-10-03_Alaska_Minnesota-Duluth
2025-10-03,Non-Conference,,Wisconsin,/reports/team/Wisconsin/58,,Lindenwood,/reports/team/Lindenwood/433,,,,,Friday,2025-10-03_Lindenwood_Wisconsin
2025-10-03,Exhibition,,Windsor,,,Michigan State,/reports/team/Michigan-State/32,,,,,Friday,2025-10-03_Michigan State_Windsor
2025-10-03,Exhibition,,Air Force,/reports/team/Air-Force/1,,Omaha,/reports/team/Omaha/37,,,,,Friday,2025-10-03_Omaha_Air Force
2025-10-03,Exhibition,,Simon Fraser,,,Providence,/reports/team/Providence/46,,,,,Friday,2025-10-03_Providence_Simon Fraser
2025-10-03,Exhibition,,Long Island,/reports/team/Long-Island/62,,Army,/reports/team/Army/6,,,,,Friday,2025-10-03_Army_Long Island
2025-10-03,Exhibition,,Notre Dame,/reports/team/Notre-Dame/43,,US Under 18,,,,,,Friday,2025-10-03_US Under-18_Notre Dame
2025-10-03,Exhibition,,New Hampshire,/reports/team/New-Hampshire/38,,Maine,/reports/team/Maine/25,,,,,Friday,2025-10-03_Maine_New Hampshire
2025-10-03,Hockey East,,Merrimack,/reports/team/Merrimack/29,,Mass Lowell,/reports/team/Mass-Lowell/26,,,,,Friday,2025-10-03_Mass.-Lowell_Merrimack
