Team,Arena,Capacity,Sheet_length,Sheet_width,School,Latitude,Longitude,hex1,hex2,hex3,simp_color,logo_abv,abv,ncaa_name,ncaa_data_alts,eliteprospects_url
Air Force,Cadet Ice Arena,2470,200,85,Air Force,39.0137391,-104.8837269,3087,8a8d8f,,,afa,Air Force,Air Force,"AIRFOR, Air Force",https://www.eliteprospects.com/team/2453/air-force-academy
Alaska,Carlson Center,4595,200,100,Alaska,64.84212435,-147.7638406,236192,ffcd00,,,akf,Alaska,Alas Fairbanks,"AK FBK, Alas. Fairbanks",https://www.eliteprospects.com/team/2071/univ.-of-alaska-fairbanks
Alaska Anchorage,Avis Alaska Sports Complex,800,200,85,Alaska-Anchorage,61.20553644,-149.8727373,00583d,ffc425,,,aka,UAA,Alas Anchorage,"AK ANC, Alas. Anchorage",https://www.eliteprospects.com/team/1915/univ.-of-alaska-anchorage
American Intl,MassMutual Center,6866,200,85,American Int'l,42.1180027,-72.5543263,0,ffb60f,,,aic,AIC,American Intl,"AM INT, American Int'l",https://www.eliteprospects.com/team/1252/american-international-college
American Int'l,MassMutual Center,6866,200,85,American Int'l,42.1180027,-72.5543263,0,ffb60f,,,aic,AIC,American Intl,"AM INT, American Int'l",https://www.eliteprospects.com/team/1252/american-international-college
Arizona State,Mullett Arena,5000,200,85,Arizona State,33.4471565,-111.9108672,8c1d40,ffc627,,,asu,ASU,Arizona St,"AZ ST, Arizona St.",https://www.eliteprospects.com/team/18066/arizona-state-univ.
Army,Tate Rink,2648,200,90,Army,41.38654693,-73.96520617,d4bf91,b2b4b3,,,arm,Army,Army West Point,"ARMY, Army",https://www.eliteprospects.com/team/1273/army-u.s.-military-academy
Augustana,Midco Arena,3082,200,85,Augustana,43.52156181,-96.74046928,004b8d,ffdd00,FFFFFF,,aug,Augustana,Augustana SD,"AUG SD, Augustana (SD)",https://www.eliteprospects.com/team/35387/augustana-univ.
Bemidji State,Sanford Center,4373,200,85,Bemidji State,47.46360263,-94.85385753,004d44,d4d67c,,,bmj,BSU,Bemidji St,"BEMDJI, Bemidji St.",https://www.eliteprospects.com/team/790/bemidji-state-univ.
Bentley,Bentley Arena,2117,200,85,Bentley,42.3848518,-71.2204876,1b5faa,88898a,,,ben,Bentley,Bentley,"BENTLY, Bentley",https://www.eliteprospects.com/team/2319/bentley-univ.
