Team,Season,W,L,T,Coach,Home Arena,Conference,SeasonYear,RS,CT,NCAAs
Air Force,2025-26,0,0,0,Frank Serratore,Cadet Ice Arena,Atlantic Hockey,2025,,,
Air Force,2024-25,16,21,3,Frank Serratore,Cadet Ice Arena,Atlantic Hockey,2024,,,
Air Force,2023-24,18,19,1,Frank Serratore,Cadet Ice Arena,Atlantic Hockey,2023,,,
Air Force,2022-23,12,22,2,Frank Serratore,Cadet Ice Arena,Atlantic Hockey,2022,,,
Air Force,2021-22,16,17,3,Frank Serratore,Cadet Ice Arena,Atlantic Hockey,2021,,,
Air Force,2020-21,3,10,1,Frank Serratore,Cadet Ice Arena,Atlantic Hockey,2020,,,
Air Force,2019-20,12,18,6,Frank Serratore,Cadet Ice Arena,Atlantic Hockey,2019,,,
Air Force,2018-19,16,15,5,Frank Serratore,Cadet Ice Arena,Atlantic Hockey,2018,,,
Air Force,2017-18,23,15,5,Frank Serratore,Cadet Ice Arena,Atlantic Hockey,2017,,1,1
Air Force,2016-17,27,10,5,Frank Serratore,Cadet Ice Arena,Atlantic Hockey,2016,,1,1
Air Force,2015-16,20,12,5,Frank Serratore,Cadet Ice Arena,Atlantic Hockey,2015,,,
Air Force,2014-15,16,21,4,Frank Serratore,Cadet Ice Arena,Atlantic Hockey,2014,,,
Air Force,2013-14,21,14,4,Frank Serratore,Cadet Ice Arena,Atlantic Hockey,2013,,,
Air Force,2012-13,17,13,7,Frank Serratore,Cadet Ice Arena,Atlantic Hockey,2012,,,
Air Force,2011-12,21,11,7,Frank Serratore,Cadet Ice Arena,Atlantic Hockey,2011,1,1,1
Air Force,2010-11,20,12,6,Frank Serratore,Cadet Ice Arena,Atlantic Hockey,2010,,1,1
Air Force,2009-10,16,15,6,Frank Serratore,Cadet Ice Arena,Atlantic Hockey,2009,,,
Air Force,2008-09,28,11,2,Frank Serratore,Cadet Ice Arena,Atlantic Hockey,2008,1,1,1
Air Force,2007-08,21,12,6,Frank Serratore,Cadet Ice Arena,Atlantic Hockey,2007,,1,1
Air Force,2006-07,19,16,5,Frank Serratore,Cadet Ice Arena,Atlantic Hockey,2006,,1,1
Air Force,2005-06,11,20,1,Frank Serratore,Cadet Ice Arena,CHA,2005,,,
Air Force,2004-05,14,19,3,Frank Serratore,Cadet Ice Arena,CHA,2004,,,
Air Force,2003-04,14,21,2,Frank Serratore,Cadet Ice Arena,CHA,2003,,,
Air Force,2002-03,10,24,3,Frank Serratore,Cadet Ice Arena,CHA,2002,,,
Air Force,2001-02,16,16,2,Frank Serratore,Cadet Ice Arena,CHA,2001,,,
Air Force,2000-01,16,17,4,Frank Serratore,Cadet Ice Arena,CHA,2000,,,
Air Force,1999-00,19,18,2,Frank Serratore,Cadet Ice Arena,CHA,1999,,,
Air Force,1998-99,15,19,2,Frank Serratore,Cadet Ice Arena,D-I Independent,1998,,,
Air Force,1997-98,15,19,0,Frank Serratore,Cadet Ice Arena,D-I Independent,1997,,,
Air Force,1996-97,8,21,2,Chuck Delich,Cadet Ice Arena,D-I Independent,1996,,,
Air Force,1995-96,4,24,5,Chuck Delich,Cadet Ice Arena,D-I Independent,1995,,,
Air Force,1994-95,15,17,1,Chuck Delich,Cadet Ice Arena,D-I Independent,1994,,,
Air Force,1993-94,15,16,1,Chuck Delich,Cadet Ice Arena,D-I Independent,1993,,,
Air Force,1992-93,8,20,2,Chuck Delich,Cadet Ice Arena,D-I Independent,1992,,,
Air Force,1991-92,14,20,0,Chuck Delich,Cadet Ice Arena,D-I Independent,1991,,,
Air Force,1990-91,11,17,4,Chuck Delich,Cadet Ice Arena,D-I Independent,1990,,,
Air Force,1989-90,16,13,1,Chuck Delich,Cadet Ice Arena,D-I Independent,1989,,,
Air Force,1988-89,14,12,3,Chuck Delich,Cadet Ice Arena,D-I Independent,1988,,,
Air Force,1987-88,15,14,0,Chuck Delich,Cadet Ice Arena,D-I Independent,1987,,,
Air Force,1986-87,19,10,0,Chuck Delich,Cadet Ice Arena,D-I Independent,1986,,,
Air Force,1985-86,15,13,0,Chuck Delich,Cadet Ice Arena,D-I Independent,1985,,,
Air Force,1984-85,14,14,1,John Matchefts,Cadet Ice Arena,D-I Independent,1984,,,
Air Force,1983-84,8,16,2,John Matchefts,Cadet Ice Arena,D-I Independent,1983,,,
Air Force,1982-83,5,23,0,John Matchefts,Cadet Ice Arena,D-I Independent,1982,,,
Air Force,1981-82,12,17,1,John Matchefts,Cadet Ice Arena,D-I Independent,1981,,,
Air Force,1980-81,13,13,0,John Matchefts,Cadet Ice Arena,D-I Independent,1980,,,
Air Force,1979-80,15,16,0,John Matchefts,Cadet Ice Arena,D-I Independent,1979,,,
Air Force,1978-79,18,12,1,John Matchefts,Cadet Ice Arena,D-I Independent,1978,,,
Air Force,1977-78,9,17,0,John Matchefts,Cadet Ice Arena,D-I Independent,1977,,,
Air Force,1976-77,20,7,0,John Matchefts,Cadet Ice Arena,D-I Independent,1976,,,
Air Force,1975-76,16,10,0,John Matchefts,Cadet Ice Arena,D-I Independent,1975,,,
Air Force,1974-75,24,5,1,John Matchefts,Cadet Ice Arena,D-I Independent,1974,,,
Air Force,1973-74,12,15,0,Vic Heyliger,Cadet Ice Arena,D-I Independent,1973,,,
Air Force,1972-73,16,16,0,Vic Heyliger,Cadet Ice Arena,D-I Independent,1972,,,
Air Force,1971-72,25,6,0,Vic Heyliger,Cadet Ice Arena,D-I Independent,1971,,,
Air Force,1970-71,15,11,2,Vic Heyliger,Cadet Ice Arena,D-I Independent,1970,,,
Air Force,1969-70,11,17,1,Vic Heyliger,Cadet Ice Arena,D-I Independent,1969,,,
Air Force,1968-69,6,12,0,Vic Heyliger,Cadet Ice Arena,D-I Independent,1968,,,
Alaska,2025-26,0,0,0,Erik Largen,Carlson Center,D-I Independent,2025,,,
Alaska,2024-25,12,14,6,Erik Largen,Carlson Center,D-I Independent,2024,,,
Alaska,2023-24,17,14,3,Erik Largen,Carlson Center,D-I Independent,2023,,,
Alaska,2022-23,22,10,2,Erik Largen,Carlson Center,D-I Independent,2022,,,
Alaska,2021-22,14,18,2,Erik Largen,Carlson Center,D-I Independent,2021,,,
Alaska,2019-20,,15,,Erik Largen,Carlson Center,WCHA,2019,,,
Alaska,2018-19,,21,,Erik Largen,Carlson Center,WCHA,2018,,,
Alaska,2017-18,11,22,3,Lance West,Carlson Center,WCHA,2017,,,
Alaska,2016-17,12,20,4,Dallas Ferguson,Carlson Center,WCHA,2016,,,
Alaska,2015-16,10,22,4,Dallas Ferguson,Carlson Center,WCHA,2015,,,
Alaska,2014-15,19,13,2,Dallas Ferguson,Carlson Center,WCHA,2014,,,
Alaska,2013-14,18,15,4,Dallas Ferguson,Carlson Center,WCHA,2013,,,
Alaska,2012-13,17,16,4,Dallas Ferguson,Carlson Center,CCHA,2012,,,
Alaska,2011-12,12,20,4,Dallas Ferguson,Carlson Center,CCHA,2011,,,
Alaska,2010-11,16,17,5,Dallas Ferguson,Carlson Center,CCHA,2010,,,
Alaska,2009-10,,12,9,Dallas Ferguson,Carlson Center,CCHA,2009,,,1
Alaska,2008-09,17,16,6,Dallas Ferguson,Carlson Center,CCHA,2008,,,
Alaska,2007-08,9,21,5,Doc DelCastillo,Carlson Center,CCHA,2007,,,
Alaska,2006-07,11,22,6,Tavis MacMillan,Carlson Center,CCHA,2006,,,
Alaska,2005-06,18,16,5,Tavis MacMillan,Carlson Center,CCHA,2005,,,
Alaska,2004-05,17,16,4,Tavis MacMillan,Carlson Center,CCHA,2004,,,
Alaska,2003-04,16,19,1,Guy Gadowsky,Carlson Center,CCHA,2003,,,
Alaska,2002-03,15,14,7,Guy Gadowsky,Carlson Center,CCHA,2002,,,
Alaska,2001-02,22,12,3,Guy Gadowsky,Carlson Center,CCHA,2001,,,
Alaska,2000-01,9,19,8,Guy Gadowsky,Carlson Center,CCHA,2000,,,
Alaska,1999-00,6,25,3,Guy Gadowsky,Carlson Center,CCHA,1999,,,
Alaska,1998-99,11,22,1,Dave Laurion,Carlson Center,CCHA,1998,,,
Alaska,1997-98,10,21,4,Dave Laurion,Carlson Center,CCHA,1997,,,
Alaska,1996-97,14,22,1,Dave Laurion,Carlson Center,CCHA,1996,,,
Alaska,1995-96,10,23,1,Dave Laurion,Carlson Center,CCHA,1995,,,
Alaska,1994-95,11,21,1,Dave Laurion,Carlson Center,CCHA,1994,,,
Alaska,1993-94,24,13,1,Dave Laurion,Carlson Center,D-I Independent,1993,,,
Alaska,1992-93,18,11,2,Don Lucia,Carlson Center,D-I Independent,1992,,,
Alaska,1991-92,4,29,0,Don Lucia,Carlson Center,D-I Independent,1991,,,
Alaska,1990-91,16,13,1,Don Lucia,Carlson Center,D-I Independent,1990,,,
Alaska,1989-90,9,19,0,Don Lucia,,D-I Independent,1989,,,
Alaska,1988-89,18,12,2,Don Lucia,,D-I Independent,1988,,,
Alaska,1987-88,20,9,2,Don Lucia,,GWHC,1987,,,
Alaska,1986-87,17,7,1,Ric Schafer,,GWHC,1986,,,
Alaska,1985-86,17,7,1,Ric Schafer,,GWHC,1985,,,
Alaska,1984-85,21,12,1,Ric Schafer,,D-II Independent,1984,,,
Alaska,1983-84,22,7,0,Ric Schafer,,D-II Independent,1983,,,
Alaska,1982-83,17,7,0,Ric Schafer,,D-II Independent,1982,,,
Alaska,1981-82,4,19,0,Ric Schafer,,D-II Independent,1981,,,
Alaska,1980-81,1,23,0,Ric Schafer,,D-II Independent,1980,,,
Alaska,1977-78,14,3,1,Tim Homan,,D-II Independent,1977,,,
Alaska,1973-74,1,7,0,Bob Gaddis,,D-II Independent,1973,,,
Alaska,1972-73,14,10,1,Ray Korkiala,,D-I Independent,1972,,,
Alaska,1971-72,6,5,0,Gary Weitz,,D-I Independent,1971,,,
Alaska,1970-71,13,14,1,Fred Stevenson,,D-I Independent,1970,,,
Alaska,1969-70,4,7,1,Fred Stevenson,,D-I Independent,1969,,,
