team_id,team,first_date,last_date,max_point,max_date,min_point,min_date,final_w,final_l,final_t,last_500_date,max_cum_gd,max_cum_gd_date,min_cum_gd,min_cum_gd_date,final_cum_gd
1,Air Force,1990-01-02,2025-03-09,-41,1990-10-26,-187,2006-02-04,523,650,116,,-231,1990-10-26,-850,2006-10-14,-676
2,Alabama-Huntsville,1990-01-05,2021-03-13,-16,2001-11-30,-276,2021-03-13,245,521,70,,-77,1990-01-06,-1008,2021-03-13,-1008
3,Alaska-Anchorage,1990-01-06,2025-02-22,23,1993-03-06,-349,2025-02-21,394,742,136,1995-12-01,108,1992-12-12,-1108,2025-02-21,-1107
4,Alaska-Fairbanks,1990-01-02,2025-03-01,-6,1990-01-02,-164,2021-12-10,506,650,122,,-33,1994-03-12,-515,2021-12-10,-459
5,American Int'l,1990-01-09,2025-03-09,-53,1990-01-09,-346,2018-11-10,284,594,85,,-326,1990-01-09,-1402,2018-11-02,-1273
6,Army,1990-01-02,2025-03-15,-128,1990-01-02,-371,2025-01-07,650,1015,135,,-511,1990-01-02,-1280,2025-01-07,-1257
7,Bemidji State,1996-11-29,2025-03-15,0,1996-12-19,-43,2003-02-21,413,429,107,1996-12-19,7,2021-12-04,-163,2003-02-21,-27
8,Bentley,1993-12-04,2025-03-28,-4,1993-12-04,-154,2024-10-12,326,470,93,,-17,1993-12-04,-555,2023-10-14,-507
9,Boston College,1990-01-03,2025-03-30,678,2025-03-08,307,1997-02-15,1584,907,157,,2430,2025-03-08,1207,1997-02-15,2428
10,Boston University,1990-01-03,2025-04-12,622,2025-04-10,245,1990-01-03,1572,951,180,,2320,2025-04-10,1094,1990-01-03,2316
11,Bowling Green,1990-01-05,2025-03-15,49,1990-12-08,-140,2012-11-21,698,783,136,2001-12-14,210,1990-12-08,-356,2012-12-15,-171
12,Brown,1990-01-05,2025-03-15,-140,1990-01-12,-380,2025-01-11,793,1169,162,,-640,1990-01-12,-1389,2025-01-11,-1387
13,Canisius,1991-01-11,2025-03-08,-11,1991-01-11,-116,2025-02-14,380,496,114,,-49,1991-01-11,-376,2025-02-21,-376
14,Clarkson,1990-01-05,2025-03-22,249,2025-03-21,74,1990-01-05,940,692,154,,952,2025-03-21,312,1990-01-05,950
15,Colgate,1990-01-05,2025-03-15,15,2006-01-28,-57,2022-01-28,735,779,149,2010-11-06,-50,2008-02-16,-249,2022-11-11,-229
16,Colorado College,1990-01-05,2025-03-16,-70,2011-12-17,-283,1993-03-13,1118,1312,139,,-269,2012-11-10,-1027,1993-03-13,-661
17,Connecticut,1991-01-04,2025-03-30,-22,1995-12-08,-161,2019-11-09,376,516,94,,-152,1997-12-09,-674,2020-01-11,-608
18,Cornell,1990-01-05,2025-03-29,386,2025-03-27,123,1995-01-21,1115,730,158,,1147,2025-03-27,418,1995-12-27,1146
