Rk,Team,PCWs,RPI,Rk_1,QWB-†,W-L-T,PwWin %,Wgtd Win % - ‡
1,Boston College,63,0.608,1,0.011,26-7-2 (2-0),0.7524,0.7539
2,Michigan State,62,0.6033,2,0.0104,26-6-4 (3-1),0.7593,0.7575
3,Maine,61,0.5896,3,0.0074,24-7-6 (2-1),0.7207,0.7113
4,Western Michigan,60,0.5878,4,0.0031,30-7-1 (5-3),0.7851,0.7861
5,Minnesota,59,0.5803,5,0.0057,25-10-4 (1-4),0.7179,0.7112
6,Connecticut,58,0.5759,6,0.0088,22-11-4 (3-2),0.6396,0.6372
7,Boston University,57,0.5712,7,0.0069,21-13-2 (1-2),0.6204,0.6148
8,Providence,56,0.5694,8,0.0053,21-10-5 (4-2),0.6343,0.633
9,Denver,55,0.5618,9,0.0036,29-11-1 (2-1),0.7114,0.7068
10,Ohio State,53,0.5594,10,0.0042,24-13-2 (3-2),0.6325,0.6302
11,Massachusetts,53,0.5564,11,0.0068,20-13-5 (0-1),0.6009,0.5951
12,Quinnipiac,52,0.5515,12,0.0015,24-11-2 (2-4),0.6937,0.6821
13,Penn State,51,0.5514,13,0.0054,20-13-4 (3-1),0.5766,0.5747
14,Minnesota State,50,0.5475,14,0.0006,27-8-3 (3-1),0.7325,0.714
15,Michigan,49,0.5466,15,0.0106,18-15-3 (6-1),0.4954,0.4954
16,Arizona State,48,0.5425,16,0.0045,21-14-2 (2-6),0.6306,0.6311
17,Cornell,47,0.5374,17,0.0027,18-10-6 (1-0),0.6078,0.6167
18,North Dakota,46,0.5325,18,0.0046,21-15-2 (4-1),0.5526,0.5552
19,Mass.-Lowell,45,0.5324,19,0.0048,16-16-4 (1-2),0.5093,0.4982
20,Clarkson,43,0.5252,20,0.0015,24-12-3 (3-2),0.6453,0.6213
21,New Hampshire,42,0.5238,21,0.0031,13-16-6 (1-2),0.4667,0.4749
22,Bentley,41,0.5228,22,0.0013,23-14-2 (1-4),0.641,0.6474
23,Dartmouth,41,0.5208,23,0.0017,18-13-2 (0-2),0.596,0.5926
24,Northeastern,40,0.5187,24,0.0066,14-20-3 (2-1),0.4099,0.4161
25,Long Island,38,0.5138,25,0.0004,18-12-2 (0-2),0.6146,0.6468
26,Holy Cross,38,0.5124,26,0.0008,24-14-2 (4-3),0.6167,0.5997
27,Sacred Heart,37,0.5113,27,0.001,21-13-5 (1-2),0.6111,0.5945
28,Wisconsin,36,0.5091,28,0.0062,13-21-3 (2-6),0.4279,0.421
29,Colgate,35,0.5085,29,0.0008,18-15-3 (3-2),0.5324,0.539
30,Omaha,34,0.5046,30,0.0033,18-17-1 (4-1),0.4861,0.4743
31,St. Thomas,32,0.5006,31,0.0011,19-14-5 (2-1),0.557,0.5502
32,Merrimack,32,0.4996,33,0.0056,13-21-1 (1-2),0.3952,0.3916
33,Colorado College,31,0.5006,32,0.0049,18-18-1 (6-1),0.455,0.462
34,Vermont,30,0.4978,34,0.0035,11-21-3 (2-3),0.3667,0.3738
35,Augustana,30,0.4966,35,0,18-13-4 (2-1),0.5619,0.5659
36,St. Cloud State,28,0.4955,37,0.0016,14-21-1 (2-3),0.412,0.4085
37,Union,27,0.4962,36,0.0005,19-14-3 (2-0),0.5509,0.5361
38,Harvard,25,0.4923,38,0.0013,13-17-3 (2-2),0.4394,0.4483
39,Bowling Green,25,0.4889,39,0.0002,18-14-4 (4-3),0.5463,0.5481
40,Alaska,25,0.4877,40,0.0011,12-14-6 (3-2),0.4583,0.5085
41,Notre Dame,25,0.4875,41,0.0043,12-25-1 (2-2),0.3289,0.3336
42,Minnesota-Duluth,22,0.4846,42,0.0014,13-20-3 (2-4),0.4213,0.415
43,Princeton,22,0.483,43,0.0015,12-15-3 (3-2),0.4389,0.426
44,Brown,22,0.4822,44,0.0002,14-15-3 (3-0),0.4531,0.4444
45,Michigan Tech,19,0.4806,45,0.0009,16-17-3 (4-3),0.4769,0.4771
46,Bemidji State,18,0.4784,46,0.0019,15-18-5 (4-1),0.4342,0.4501
47,Army,16,0.4671,47,0,16-20-2 (2-1),0.4386,0.4559
48,Lake Superior,16,0.4651,48,0.0006,12-22-2 (0-5),0.4074,0.4223
49,Air Force,15,0.4651,49,0.0002,16-21-3 (3-4),0.4458,0.4391
50,Rensselaer,14,0.4641,50,0.0001,12-21-2 (1-4),0.4,0.4095
51,Niagara,12,0.4637,51,0,18-16-3 (4-4),0.527,0.5189
52,American Int'l,12,0.4634,52,0.0005,13-23-2 (0-3),0.3947,0.4118
53,Ferris State,11,0.4516,53,0.0004,13-20-3 (1-0),0.3935,0.3899
54,Lindenwood,9,0.4447,54,0,8-22-2 (0-3),0.3125,0.3565
55,St. Lawrence,9,0.432,57,0.0003,9-24-2 (3-1),0.2667,0.2559
56,Canisius,8,0.4434,55,0,12-23-2 (0-3),0.3784,0.385
57,Yale,8,0.4411,56,0.0011,6-21-3 (1-1),0.25,0.2566
58,Robert Morris,7,0.4318,58,0.0001,10-20-5 (1-3),0.3762,0.3826
59,Alaska-Anchorage,4,0.428,59,0,6-23-5 (0-3),0.2794,0.2935
60,RIT,4,0.424,60,0.0001,10-23-2 (2-2),0.3143,0.3239
61,Stonehill,4,0.4202,61,0.0001,10-22-0 (4-0),0.2708,0.2851
62,Northern Michigan,2,0.4095,62,0.0008,5-27-2 (1-3),0.1961,0.2019
63,Miami,2,0.4075,63,0,3-28-3 (0-4),0.1716,0.1644
64,Mercyhurst,0,0.3806,64,0,4-27-4 (1-1),0.1714,0.1607
