team_id,team,first_date,last_date,max_point,max_date,min_point,min_date,final_w,final_l,final_t,last_500_date,max_cum_gd,max_cum_gd_date,min_cum_gd,min_cum_gd_date,final_cum_gd
1,Air Force,1969-03-22,2025-03-09,-1,1969-03-22,-187,2006-02-04,523,650,116,,-8,1969-03-22,-850,2006-10-14,-676
2,Alabama-Huntsville,1986-11-29,2021-03-13,1,1987-02-13,-276,2021-03-13,245,521,70,1987-10-30,-1,1986-11-29,-1008,2021-03-13,-1008
3,Alaska-Anchorage,1980-10-31,2025-02-22,23,1993-03-06,-349,2025-02-21,394,742,136,1995-12-01,108,1992-12-12,-1108,2025-02-21,-1107
4,Alaska-Fairbanks,1980-11-02,2025-03-01,-1,1980-11-02,-164,2021-12-10,506,650,122,,-8,1980-11-02,-515,2021-12-10,-459
5,American Int'l,1949-01-14,2025-03-09,-1,1949-01-14,-346,2018-11-10,284,594,85,,-5,1949-01-14,-1402,2018-11-02,-1273
6,Army,1905-11-30,2025-03-15,1,1905-11-30,-371,2025-01-07,650,1015,135,1906-11-30,1,1905-11-30,-1280,2025-01-07,-1257
7,Bemidji State,1970-02-06,2025-03-15,0,1970-02-07,-43,2003-02-21,413,429,107,1996-12-19,7,2021-12-04,-163,2003-02-21,-27
8,Bentley,1982-01-29,2025-03-28,-1,1982-01-29,-154,2024-10-12,326,470,93,,-6,1982-01-29,-555,2023-10-14,-507
9,Boston College,1918-02-06,2025-03-30,678,2025-03-08,-1,1938-01-13,1584,907,157,1940-01-09,2430,2025-03-08,-5,1919-01-19,2428
10,Boston University,1918-02-06,2025-04-12,622,2025-04-10,-22,1943-02-26,1572,951,180,1965-02-19,2320,2025-04-10,-171,1943-02-26,2316
11,11,1967-12-12,2025-03-15,49,1990-12-08,-140,2012-11-21,698,783,136,2001-12-14,210,1990-12-08,-356,2012-12-15,-171
12,Brown,1902-01-25,2025-03-15,5,1978-12-16,-380,2025-01-11,793,1169,162,1979-12-11,-10,1902-01-25,-1389,2025-01-11,-1387
13,Canisius,1987-11-03,2025-03-08,-1,1987-11-03,-116,2025-02-14,380,496,114,,-8,1987-11-03,-376,2025-02-21,-376
14,Clarkson,1923-01-20,2025-03-22,249,2025-03-21,-1,1925-11-30,940,692,154,1926-11-30,952,2025-03-21,-1,1925-11-30,950
15,Colgate,1916-11-30,2025-03-15,15,2006-01-28,-66,1985-12-06,735,779,149,2010-11-06,37,1950-02-22,-303,1979-11-30,-229
16,Colorado College,1939-12-15,2025-03-16,58,1958-02-21,-283,1993-03-13,1118,1312,139,1964-02-15,329,1958-02-21,-1027,1993-03-13,-661
17,17,1928-03-06,2025-03-30,-1,1928-03-06,-161,2019-11-09,376,516,94,,-7,1928-03-06,-674,2020-01-11,-608
18,18,1902-02-22,2025-03-29,386,2025-03-27,-87,1964-12-21,1115,730,158,1969-12-13,1147,2025-03-27,-565,1965-01-02,1146
19,Dartmouth,1907-01-16,2025-03-21,54,1950-02-18,-270,2024-01-19,734,993,136,1965-12-17,248,1950-02-18,-1108,2024-01-19,-1065
20,Denver,1949-12-26,2025-04-10,374,2025-03-30,-14,1955-01-21,1227,854,143,1960-02-29,1196,2025-03-30,-117,1951-12-20,1195
21,Ferris State,1980-03-07,2025-03-08,1,1980-03-08,-189,2025-01-17,583,770,146,1980-03-14,4,1980-03-08,-627,2025-03-08,-627
22,Harvard,1902-02-08,2025-03-16,426,2023-03-17,-2,1902-03-17,1357,949,166,1903-02-21,2182,2023-03-17,0,1902-03-17,2126
23,23,1928-01-27,2025-03-22,-1,1928-01-27,-117,2022-11-25,410,504,110,,-1,1928-01-27,-433,2022-11-25,-362
24,Lake Superior,1971-11-26,2025-03-08,178,1997-02-01,-8,2025-03-08,699,707,156,2025-01-10,688,1997-02-01,-51,1984-11-02,35
25,25,1924-02-02,2025-03-28,274,2012-03-16,-50,1986-10-24,840,597,147,1989-11-20,1102,2012-03-09,-207,1986-10-24,1016
26,Lowell Tech,1973-02-07,2025-03-15,31,2023-01-27,-82,2011-10-29,694,681,130,2018-12-29,50,2023-01-27,-270,1992-03-06,-5
27,Mass. Agricultural,1910-01-16,2025-03-29,-1,1910-01-16,-271,2018-02-03,459,666,98,,-2,1910-01-16,-1039,2018-02-03,-813
28,Mercyhurst,1987-11-25,2025-03-01,49,2018-03-10,-41,2025-03-01,412,453,98,2023-02-03,204,2015-02-14,-83,2025-03-01,-83
29,Merrimack,1959-12-19,2025-03-12,-1,1959-12-19,-268,2021-11-05,504,770,120,,-4,1959-12-19,-917,2025-03-12,-917
30,Miami,1979-10-20,2025-03-08,39,2015-10-23,-103,2025-03-08,617,720,137,2019-11-29,74,2015-03-21,-418,2002-03-09,-357
31,Michigan,1923-01-12,2025-03-08,546,2024-11-23,-10,1945-02-03,1592,1050,156,1948-02-06,2200,2024-11-23,-83,1945-02-03,2179
32,Michigan State,1925-01-24,2025-03-27,220,2008-03-14,-120,1981-02-08,1068,914,160,1990-01-20,683,2008-10-31,-544,1981-02-08,458
33,Mich. Coll. of Mines,1922-02-13,2025-03-08,5,1981-03-21,-368,2014-01-11,915,1205,171,1985-01-25,10,1927-12-30,-1312,2014-01-25,-1062
34,Minnesota,1922-01-20,2025-03-27,782,2025-02-22,1,1922-01-20,1810,1030,198,,3077,2025-03-08,3,1922-01-20,3073
35,Mankato State,1975-11-21,2025-03-27,142,2025-03-21,-70,2012-11-10,599,458,108,2017-12-30,450,2025-03-21,-254,2012-11-02,449
36,36,1923-03-06,2025-03-15,1,1923-03-06,-125,2008-03-15,935,961,160,1952-12-13,2,2022-10-02,-383,2002-10-26,-62
37,Neb.-Omaha,1947-12-04,2025-03-15,-1,1947-12-04,-40,2004-12-30,473,488,106,,-23,1947-12-04,-186,2004-03-14,-122
38,New Hampshire,1925-02-05,2025-03-12,150,2015-12-30,-99,1990-02-20,861,761,160,1999-11-19,493,2015-12-30,-363,1989-11-11,363
39,Niagara,1996-10-25,2025-03-09,43,2013-02-23,-70,2024-01-06,412,475,109,2016-02-19,130,2013-02-23,-240,2024-01-06,-216
40,North Dakota,1930-02-04,2025-03-21,555,2025-03-15,-10,1949-12-29,1542,988,155,1952-12-27,1870,2025-03-07,-82,1949-12-29,1866
41,Northeastern,1930-01-10,2025-03-20,-1,1930-01-10,-348,2015-11-27,732,1013,160,,-2,1930-01-10,-1412,2014-12-03,-1181
42,Northern Michigan,1977-12-28,2025-03-01,64,2006-03-11,-18,1988-10-15,763,734,144,1998-03-20,280,1994-01-22,-63,1987-10-24,123
43,Notre Dame,1922-02-18,2025-03-15,3,1923-02-22,-168,2006-02-04,736,769,145,1925-02-09,8,1923-02-22,-715,2006-02-04,-319
44,44,1961-12-18,2025-03-27,-1,1961-12-18,-197,1997-02-01,641,758,153,,-9,1961-12-18,-956,1997-10-24,-693
45,Princeton,1902-01-15,2025-03-07,19,1942-02-23,-388,2025-01-18,675,1062,128,1950-02-11,105,1942-12-17,-1469,2025-02-21,-1467
46,Providence,1927-02-25,2025-03-28,-1,1927-02-25,-124,2012-10-20,821,832,171,,-12,1927-02-25,-450,2012-03-03,-106
47,Quinnipiac,1996-01-30,2025-03-28,271,2025-03-15,-7,1998-02-20,588,319,96,1999-11-06,920,2025-03-15,-30,1998-02-20,916
48,48,1905-11-30,2025-03-07,44,2002-10-11,-108,2025-03-07,723,831,133,2011-02-11,262,2002-10-11,-228,2025-03-07,-228
49,49,1907-02-09,2025-02-28,57,2024-03-23,-24,2006-10-07,375,332,74,2009-10-24,156,2024-03-23,-75,1995-02-01,102
50,Robert Morris,2004-10-22,2025-03-01,9,2017-03-17,-44,2010-01-03,296,321,76,2023-10-27,7,2018-03-16,-159,2011-10-29,-98
51,Sacred Heart,1994-02-19,2025-03-15,-1,1994-02-19,-150,2019-01-15,352,489,92,,-11,1994-02-19,-577,2019-01-15,-543
52,St. Cloud,1984-11-28,2025-03-15,156,2023-12-31,-38,1996-01-12,741,598,120,2001-02-16,656,2023-12-31,-98,1993-12-05,609
53,St. Lawrence,1927-01-31,2025-03-08,72,2001-03-17,-37,2025-03-08,768,805,132,2020-02-01,272,1992-12-12,-112,2025-03-08,-112
54,Union,1923-11-30,2025-03-15,-1,1923-11-30,-161,2007-12-07,498,571,129,,-4,1923-11-30,-583,2008-11-15,-330
55,55,1929-11-30,2025-03-12,4,1997-03-01,-152,2025-03-12,591,743,147,1997-11-01,-5,1929-11-30,-517,2025-03-12,-517
56,56,1936-03-03,2008-03-15,-1,1936-03-03,-62,2008-03-01,102,164,26,,-6,1936-03-03,-222,2008-03-08,-221
57,57,1962-01-29,2025-04-12,1,1988-01-03,-102,2010-10-08,677,707,151,1996-03-02,-8,1964-02-15,-429,2016-03-12,-195
58,Wisconsin,1922-01-20,2025-03-09,333,2014-03-22,-68,1968-01-31,1248,966,173,1976-11-05,1343,2014-03-22,-225,1965-01-09,1187
59,Yale,1902-01-15,2025-03-08,89,1955-01-19,-168,2007-03-03,1072,1206,135,1973-01-25,651,1955-01-19,-449,2007-10-26,-362
60,Penn State,1944-02-05,2025-04-10,26,2022-12-31,-26,2014-03-14,230,205,32,2018-02-17,64,2023-11-25,-120,2014-03-14,51
61,Arizona State,2015-10-09,2025-03-21,0,2015-10-10,-43,2018-02-24,149,162,24,2015-10-10,0,2015-10-10,-188,2023-01-21,-107
62,Long Island,2020-11-19,2025-03-01,1,2020-11-19,-43,2023-12-17,51,84,7,2020-12-12,1,2020-11-19,-125,2023-12-17,-91
63,63,1923-01-15,2025-03-21,-1,1923-01-15,-73,2024-12-06,61,123,12,,-4,1923-01-15,-266,2024-12-06,-245
64,Augustana,2023-10-07,2025-03-09,4,2025-02-01,-8,2024-02-02,31,31,8,2025-03-09,9,2025-02-01,-25,2024-02-02,6
422,Stonehill,2022-10-08,2025-02-22,-1,2022-10-08,-51,2025-01-10,11,61,0,,-6,2022-10-08,-233,2025-01-31,-232
433,Lindenwood,2022-10-01,2025-02-22,-1,2022-10-01,-42,2025-02-14,21,62,7,,-4,2022-10-01,-114,2025-02-14,-110
